Frequency,Detector,Raw Reading,Atten 10dB Factor,Cable 276 PLCE - 3m Factor,LISN 303 - L2 Factor,Level,CISPR 11 Class A - Quasi-Peak Limit,CISPR 11 Class A - Average Limit,CISPR 11 Class A - Quasi-Peak Margin,CISPR 11 Class A - Average Margin,Angle, Height, Comments
28.8668,SCAN  ,35.9,10.0,.1,.2,=SUM(C64:F64),73.0,60.0,=H64-G64,=I64-G64,0,0,
18.9134,SCAN  ,36.0,10.0,.1,.1,=SUM(C65:F65),73.0,60.0,=H65-G65,=I65-G65,0,0,
22.3364,SCAN  ,35.9,10.0,.1,.2,=SUM(C66:F66),73.0,60.0,=H66-G66,=I66-G66,0,0,
27.7102,SCAN  ,35.8,10.0,.1,.2,=SUM(C67:F67),73.0,60.0,=H67-G67,=I67-G67,0,0,
20.1962,SCAN  ,35.8,10.0,.1,.1,=SUM(C68:F68),73.0,60.0,=H68-G68,=I68-G68,0,0,
25.2045,SCAN  ,35.7,10.0,.1,.2,=SUM(C69:F69),73.0,60.0,=H69-G69,=I69-G69,0,0,
17.6971,SCAN  ,35.7,10.0,.1,.1,=SUM(C70:F70),73.0,60.0,=H70-G70,=I70-G70,0,0,
18.3086,SCAN  ,35.5,10.0,.1,.1,=SUM(C71:F71),73.0,60.0,=H71-G71,=I71-G71,0,0,
21.7216,SCAN  ,35.4,10.0,.1,.2,=SUM(C72:F72),73.0,60.0,=H72-G72,=I72-G72,0,0,
13.3934,SCAN  ,35.4,10.0,.1,.1,=SUM(C73:F73),73.0,60.0,=H73-G73,=I73-G73,0,0,
20.9340,SCAN  ,35.3,10.0,.1,.2,=SUM(C74:F74),73.0,60.0,=H74-G74,=I74-G74,0,0,
28.3483,SCAN  ,35.0,10.0,.1,.2,=SUM(C75:F75),73.0,60.0,=H75-G75,=I75-G75,0,0,
11.9378,SCAN  ,35.0,10.0,.1,.1,=SUM(C76:F76),73.0,60.0,=H76-G76,=I76-G76,0,0,
18.3684,SCAN  ,34.9,10.0,.1,.1,=SUM(C77:F77),73.0,60.0,=H77-G77,=I77-G77,0,0,
20.6881,SCAN  ,34.7,10.0,.1,.1,=SUM(C78:F78),73.0,60.0,=H78-G78,=I78-G78,0,0,
19.5881,SCAN  ,34.6,10.0,.1,.1,=SUM(C79:F79),73.0,60.0,=H79-G79,=I79-G79,0,0,
25.5733,SCAN  ,34.5,10.0,.1,.2,=SUM(C80:F80),73.0,60.0,=H80-G80,=I80-G80,0,0,
27.1287,SCAN  ,34.5,10.0,.1,.2,=SUM(C81:F81),73.0,60.0,=H81-G81,=I81-G81,0,0,
24.5963,SCAN  ,34.2,10.0,.1,.2,=SUM(C82:F82),73.0,60.0,=H82-G82,=I82-G82,0,0,
24.8755,SCAN  ,34.2,10.0,.1,.2,=SUM(C83:F83),73.0,60.0,=H83-G83,=I83-G83,0,0,
27.4045,SCAN  ,34.1,10.0,.1,.2,=SUM(C84:F84),73.0,60.0,=H84-G84,=I84-G84,0,0,
24.6594,SCAN  ,34.1,10.0,.1,.2,=SUM(C85:F85),73.0,60.0,=H85-G85,=I85-G85,0,0,
21.5156,SCAN  ,34.0,10.0,.1,.2,=SUM(C86:F86),73.0,60.0,=H86-G86,=I86-G86,0,0,
23.5561,SCAN  ,33.9,10.0,.1,.2,=SUM(C87:F87),73.0,60.0,=H87-G87,=I87-G87,0,0,
13.6227,SCAN  ,33.8,10.0,.1,.1,=SUM(C88:F88),73.0,60.0,=H88-G88,=I88-G88,0,0,
