4:36:18 PM 01-09-2019
ORBIT Version: 0.1.98
Username:     Med X Stream
Computer:     DRSHD-0710-041C
Filename:     D:\Projects\Virtek Vision\7169005365 LPS-7\01_PLCE_120Vac60Hz_L1
Spectrum Analyzer:          RSESL6          Datapoints:                500 
<BEGIN LIMIT FILE: C:\Program Files\Orbit\Limits\FCC Verification\10 KHz FCC_CE_ClassA_LISN.txt>
2
A m p l i t u d e  ( d B u V )
10
30
10
23
1
factor file # name
FCC Part 15 Class A - Quasi-Peak
220
150
0,0,255
Blank1
4
0.15
79
0.5
79
0.5
73
30
73
FCC Part 15 Class A - Average
220
220
0,0,127
Blank1
4
0.15
66
0.5
66
0.5
60
30
60
AUTOFACTOR Atten 10dB
AUTOFACTOR Cable 276 PLCE - 3m
AUTOFACTOR LISN 303 - L1
<END LIMIT FILE>
Frequency,Raw Reading,Atten 10dB Factor,Cable 276 PLCE - 3m Factor,LISN 303 - L1 Factor,Level
0.914362, 16.2154 , 10 , 0.1 , 0.02 ,26.3354
0.917685, 16.1832 , 10 , 0.1 , 0.02 ,26.3032
0.921009, 17.1401 , 10 , 0.1 , 0.02 ,27.2601
0.924332, 17.1196 , 10 , 0.1 , 0.02 ,27.2396
0.927655, 15.7415 , 10 , 0.1 , 0.02 ,25.8615
0.930979, 16.5969 , 10 , 0.1 , 0.02 ,26.7169
0.934302, 17.204 , 10 , 0.1 , 0.02 ,27.324
0.937625, 16.6762 , 10 , 0.1 , 0.02 ,26.7962
0.940949, 16.7501 , 10 , 0.1 , 0.02 ,26.8701
0.944272, 16.7102 , 10 , 0.1 , 0.02 ,26.8302
0.947595, 16.5183 , 10 , 0.1 , 0.02 ,26.6383
0.950919, 17.0156 , 10 , 0.1 , 0.02 ,27.1356
0.954242, 16.6322 , 10 , 0.1 , 0.02 ,26.7522
0.957565, 16.2325 , 10 , 0.1 , 0.02 ,26.3525
0.960888, 16.0985 , 10 , 0.1 , 0.02 ,26.2185
0.964212, 16.9083 , 10 , 0.1 , 0.02 ,27.0283
0.967535, 16.921 , 10 , 0.1 , 0.02 ,27.041
0.970858, 16.5029 , 10 , 0.1 , 0.02 ,26.6229
0.974182, 17.0453 , 10 , 0.1 , 0.02 ,27.1653
0.977505, 17.9341 , 10 , 0.1 , 0.02 ,28.0541
0.980828, 17.9427 , 10 , 0.1 , 0.02 ,28.0627
0.984152, 16.6543 , 10 , 0.1 , 0.02 ,26.7743
0.987475, 17.3206 , 10 , 0.1 , 0.02 ,27.4406
0.990798, 16.7096 , 10 , 0.1 , 0.02 ,26.8296
0.994122, 17.0045 , 10 , 0.1 , 0.02 ,27.1245
0.997445, 16.6681 , 10 , 0.1 , 0.02 ,26.7881
1.00077, 16.6674 , 10 , 0.1 , 0.02 ,26.7874
1.00409, 17.6978 , 10 , 0.1 , 0.02 ,27.8178
1.00741, 18.1391 , 10 , 0.1 , 0.02 ,28.2591
1.01074, 16.5509 , 10 , 0.1 , 0.02 ,26.6709
1.01406, 15.9002 , 10 , 0.1 , 0.02 ,26.0202
1.01738, 17.6387 , 10 , 0.1 , 0.02 ,27.7587
1.02071, 17.5099 , 10 , 0.1 , 0.02 ,27.6299
1.02403, 16.5771 , 10 , 0.1 , 0.02 ,26.6971
1.02735, 17.1395 , 10 , 0.1 , 0.02 ,27.2595
1.03068, 17.2819 , 10 , 0.1 , 0.02 ,27.4019
1.034, 17.4678 , 10 , 0.1 , 0.02 ,27.5878
1.03732, 16.6818 , 10 , 0.1 , 0.02 ,26.8018
1.04065, 16.4214 , 10 , 0.1 , 0.02 ,26.5414
1.04397, 17.6715 , 10 , 0.1 , 0.02 ,27.7915
1.04729, 17.3444 , 10 , 0.1 , 0.02 ,27.4644
1.05062, 17.5555 , 10 , 0.1 , 0.02 ,27.6755
1.05394, 17.8349 , 10 , 0.1 , 0.02 ,27.9549
1.05726, 17.946 , 10 , 0.1 , 0.02 ,28.066
1.06059, 17.4186 , 10 , 0.1 , 0.02 ,27.5386
1.06391, 15.859 , 10 , 0.1 , 0.02 ,25.979
1.06723, 16.1304 , 10 , 0.1 , 0.02 ,26.2504
